Cluster_code,URBAN_RURAC254,fidN200_A,hv270_1_poorest,hv270_2_poor,hv270_3_middle,hv270_4_rich,hv270_5_richest,household_total,mean_score270_comb_R_U,mean270_R_U_separated,median_score_comb_R_U_270,median270a_U_R_separated
TZ231,R,46072,1.00,10.00,10.00,1.00,0.00,22.00,3.00,3.00,3.00,3.00
TZ232,U,46073,0.00,0.00,0.00,8.00,13.00,21.00,5.00,3.00,5.00,4.00
TZ233,U,46074,0.00,0.00,0.00,3.00,17.00,20.00,5.00,4.00,5.00,4.00
TZ234,U,46075,0.00,0.00,3.00,3.00,15.00,21.00,5.00,3.00,5.00,4.00
TZ235,R,46076,0.00,1.00,5.00,12.00,3.00,21.00,4.00,5.00,4.00,5.00
TZ236,R,46077,0.00,0.00,4.00,10.00,6.00,20.00,4.00,5.00,4.00,5.00
TZ237,R,46078,8.00,8.00,2.00,2.00,0.00,20.00,2.00,2.00,2.00,2.00
TZ238,R,46079,0.00,6.00,9.00,3.00,1.00,19.00,3.00,4.00,3.00,3.00
TZ239,U,46080,0.00,0.00,1.00,4.00,15.00,20.00,5.00,3.00,5.00,3.00
TZ240,U,46081,0.00,0.00,0.00,3.00,17.00,20.00,5.00,3.00,5.00,3.00
TZ241,R,46082,7.00,3.00,8.00,2.00,0.00,20.00,2.00,3.00,3.00,3.00
TZ242,U,46083,0.00,1.00,3.00,13.00,4.00,21.00,4.00,2.00,4.00,2.00
TZ243,R,46084,1.00,6.00,7.00,5.00,3.00,22.00,3.00,4.00,3.00,4.00
TZ244,R,46085,3.00,8.00,6.00,4.00,0.00,21.00,3.00,3.00,2.00,3.00
TZ245,R,46086,4.00,9.00,6.00,2.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ246,R,46087,1.00,3.00,10.00,7.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ247,U,46088,0.00,0.00,0.00,8.00,11.00,19.00,5.00,3.00,5.00,3.00
TZ248,R,46089,7.00,9.00,2.00,1.00,0.00,19.00,2.00,2.00,2.00,2.00
TZ249,R,46090,0.00,3.00,8.00,9.00,0.00,20.00,3.00,4.00,3.00,4.00
TZ250,R,46091,3.00,9.00,7.00,1.00,0.00,20.00,2.00,3.00,2.00,3.00
TZ251,R,46092,1.00,5.00,11.00,4.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ252,R,46093,1.00,7.00,10.00,4.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ253,R,46094,0.00,2.00,14.00,5.00,1.00,22.00,3.00,4.00,3.00,4.00
TZ254,U,46095,0.00,0.00,3.00,9.00,9.00,21.00,4.00,2.00,4.00,2.00
TZ255,R,46096,9.00,9.00,1.00,1.00,0.00,20.00,2.00,2.00,2.00,2.00
TZ256,U,46097,0.00,0.00,0.00,0.00,18.00,18.00,5.00,5.00,5.00,5.00
TZ257,U,46098,0.00,0.00,1.00,3.00,17.00,21.00,5.00,4.00,5.00,4.00
TZ258,U,46099,0.00,0.00,0.00,15.00,6.00,21.00,4.00,2.00,4.00,2.00
TZ259,R,46100,11.00,8.00,2.00,0.00,0.00,21.00,2.00,2.00,1.00,2.00
TZ260,U,46101,0.00,0.00,0.00,11.00,8.00,19.00,4.00,2.00,4.00,2.00
TZ261,R,46102,11.00,7.00,2.00,0.00,0.00,20.00,2.00,2.00,1.00,2.00
TZ262,R,46103,4.00,6.00,6.00,6.00,0.00,22.00,3.00,3.00,3.00,4.00
TZ263,R,46104,1.00,4.00,7.00,4.00,5.00,21.00,3.00,4.00,3.00,4.00
TZ264,R,46105,5.00,7.00,4.00,5.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ265,R,46106,13.00,6.00,2.00,0.00,0.00,21.00,1.00,2.00,1.00,1.00
TZ266,R,46107,7.00,8.00,5.00,1.00,0.00,21.00,2.00,3.00,2.00,2.00
TZ267,R,46108,8.00,8.00,6.00,0.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ268,U,46109,0.00,0.00,1.00,5.00,13.00,19.00,5.00,3.00,5.00,3.00
TZ269,R,46110,14.00,6.00,1.00,1.00,0.00,22.00,2.00,2.00,1.00,1.00
TZ270,R,46111,9.00,6.00,1.00,1.00,0.00,17.00,2.00,2.00,1.00,2.00
TZ271,R,46112,18.00,1.00,2.00,1.00,0.00,22.00,1.00,2.00,1.00,1.00
TZ272,R,46113,6.00,9.00,4.00,3.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ273,U,46114,0.00,0.00,0.00,8.00,12.00,20.00,5.00,3.00,5.00,3.00
TZ274,U,46115,0.00,0.00,0.00,3.00,15.00,18.00,5.00,4.00,5.00,4.00
TZ275,R,46116,6.00,10.00,3.00,2.00,1.00,22.00,2.00,3.00,2.00,2.00
